@relation respTime

@attribute column1 numeric
@attribute column2 numeric
@attribute column3 numeric
@attribute column4 numeric
@attribute column5 numeric
@attribute column6 numeric
@attribute column7 numeric
@attribute column8 numeric
@attribute column9 numeric
@attribute column10 numeric
@attribute column11 numeric
@attribute column12 numeric
@attribute column13 numeric
@attribute column14 numeric
@attribute column15 numeric

@data
19.789629,9.989179,15.214636,7.059444,1,3,1,4,3,1,1,3,1,1,0.408987
15.346174,16.852028,19.264793,8.018355,1,4,1,4,1,1,4,4,4,3,0.532697
10.870718,17.707474,6.736705,13.828317,1,4,1,4,1,1,4,1,4,1,0.735448
11.311741,17.981514,19.593815,8.777267,1,1,1,1,1,4,4,4,1,1,0.873537
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,0.408551
10.870718,14.285685,14.014555,6.133529,1,1,1,1,1,1,1,4,4,3,0.739107
18.142605,10.688167,7.616993,14.243294,1,4,1,2,2,1,4,3,2,3,0.447723
15.346174,9.895216,12.81278,18.627682,1,3,1,4,4,4,1,4,4,3,0.450069
15.455482,5.487066,12.498687,16.26625,1,1,1,2,1,1,1,3,1,1,0.519696
10.820261,13.420983,17.168818,15.92467,1,2,1,3,3,3,2,2,1,1,0.518407
15.346174,8.191858,10.358856,17.146467,1,1,1,1,1,3,1,3,1,1,0.724504
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411762
6.531453,7.024167,13.460536,5.816613,1,3,3,3,3,3,1,3,4,3,0.638405
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589009
11.361386,8.554373,11.202702,6.888231,1,1,3,4,1,3,3,4,4,3,0.715991
19.696974,14.152961,7.072745,15.92467,1,4,1,3,2,1,4,2,3,1,0.410956
19.618303,7.024167,13.460536,6.290353,1,4,1,3,1,1,1,1,3,2,0.415239
15.20315,19.459007,15.551963,8.018355,1,1,1,4,2,2,1,4,4,1,0.436529
10.870718,14.285685,17.424522,6.977577,1,4,1,1,1,1,1,4,4,3,0.746366
18.735796,14.285685,17.424522,13.799706,1,2,3,1,1,1,3,4,4,3,0.434272
5,5,5,9.039928,1,1,1,1,1,3,2,3,3,3,1.60437
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,0.936141
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.45077
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.396773
7.242718,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.10604
